TrialN,blockID,blockN,cueLines,match,multiplier,payout,netOutcome,credits,PRPTime,L1,L2,L3,CS,R1,R2,R3,shown
84,0,0,2,0,0,0,-90,6370,0,5,3,2,1,4,2,5,0
85,0,0,1,0,0,0,-90,6280,0,5,2,3,4,3,4,1,0
86,0,0,2,1,10,100,10,6300,0,3,2,5,5,1,5,3,0
87,0,0,1,1,10,100,10,6320,0,3,2,4,2,2,1,5,0
88,0,0,2,1,50,500,410,7140,0,2,3,1,1,2,4,1,0
89,0,0,2,1,4,40,-50,7040,0,3,1,2,3,4,2,3,0
90,0,0,2,1,4,40,-50,6940,0,3,5,4,3,5,3,1,0
91,0,0,2,1,4,40,-50,6840,0,2,5,4,4,2,1,4,0
92,0,0,1,1,14,140,50,6940,0,5,1,4,5,2,3,5,0
93,0,0,2,0,0,0,-90,6850,0,5,1,4,1,3,5,4,0
94,0,0,2,1,14,140,50,6950,0,1,5,4,5,1,5,2,0
95,0,0,1,0,0,0,-90,6860,0,2,5,3,1,2,4,1,0
96,0,0,2,1,8,80,-10,6840,0,1,2,5,5,3,5,2,0
97,0,0,2,0,0,0,-90,6750,0,2,4,1,2,1,4,5,0
98,0,0,2,1,10,100,10,6770,0,3,4,2,4,4,2,5,0
99,0,0,3,1,14,140,50,6870,0,3,2,4,4,4,2,3,0
100,0,0,2,0,0,0,-90,6780,0,4,1,5,3,3,5,4,0
